id,generacion,nse,region,educacion_financiera,sesgo_presente,canal_preferido,exposicion_riesgo_sismico,apertura_datos_ia,confianza_aseguradora,tenencia_seguro,seguro_desastres_naturales,wtp_ratio
user_000089,Gen_Z_18_27,E,Selva,media,alto,bancaseguros,baja,alta,desconfia,ninguno,False,0.778
user_000090,Gen_Z_18_27,E,Lima_Metropolitana,alta,medio,broker_corredor,alta,baja,neutral,solo_obligatorio,False,1.152
user_000091,Gen_Z_18_27,D,Resto_Costa,media,alto,bancaseguros,media,alta,confia_plena,ninguno,False,0.816
user_000092,Millennial_28_43,E,Resto_Costa,baja,alto,broker_corredor,alta,alta,desconfia,ninguno,False,0.605
user_000093,Boomer_60_mas,C,Sierra,baja,alto,directo_digital,alta,media,desconfia,ninguno,False,0.705
user_000094,Millennial_28_43,C,Sierra,baja,alto,bancaseguros,media,alta,neutral,ninguno,False,0.687
user_000095,Millennial_28_43,E,Sierra,media,alto,ninguno,media,baja,desconfia,ninguno,False,0.236
user_000096,Millennial_28_43,E,Selva,baja,medio,broker_corredor,baja,media,desconfia,solo_obligatorio,False,1.207
user_000097,Millennial_28_43,E,Sierra,media,bajo,directo_digital,media,baja,neutral,ninguno,False,0.728
user_000098,Boomer_60_mas,C,Sierra,baja,alto,ninguno,media,baja,neutral,ninguno,False,0.789
user_000099,Millennial_28_43,E,Sierra,baja,medio,broker_corredor,alta,baja,neutral,ninguno,False,0.463
user_000100,Millennial_28_43,E,Sierra,alta,medio,bancaseguros,baja,alta,neutral,solo_obligatorio,False,1.373
user_000101,Boomer_60_mas,E,Lima_Metropolitana,baja,alto,directo_digital,baja,media,neutral,solo_obligatorio,False,1.355
user_000102,Millennial_28_43,C,Sierra,media,bajo,broker_corredor,alta,alta,neutral,solo_obligatorio,False,1.214
user_000103,Millennial_28_43,C,Resto_Costa,media,medio,ninguno,alta,alta,neutral,ninguno,False,0.753
user_000104,Boomer_60_mas,C,Lima_Metropolitana,baja,alto,directo_digital,alta,baja,desconfia,ninguno,False,0.689
user_000105,Millennial_28_43,E,Selva,baja,alto,directo_digital,baja,media,desconfia,ninguno,False,0.615
user_000106,Boomer_60_mas,D,Sierra,baja,alto,broker_corredor,alta,alta,confia_plena,solo_obligatorio,False,0.991
user_000107,Gen_X_44_59,C,Sierra,alta,medio,directo_digital,media,media,neutral,solo_obligatorio,False,1.18
user_000108,Gen_Z_18_27,E,Resto_Costa,baja,bajo,bancaseguros,alta,media,desconfia,ninguno,False,1.036
user_000109,Gen_Z_18_27,C,Lima_Metropolitana,baja,alto,directo_digital,media,alta,desconfia,ninguno,False,0.324
user_000110,Millennial_28_43,E,Lima_Metropolitana,baja,alto,directo_digital,baja,media,neutral,ninguno,False,0.411
user_000111,Boomer_60_mas,E,Lima_Metropolitana,baja,alto,directo_digital,alta,media,confia_plena,solo_obligatorio,False,1.201
user_000112,Gen_Z_18_27,A,Lima_Metropolitana,baja,alto,directo_digital,alta,alta,confia_plena,voluntario,False,1.672
user_000113,Millennial_28_43,B,Sierra,media,medio,broker_corredor,media,alta,neutral,solo_obligatorio,False,1.401
user_000114,Gen_X_44_59,C,Sierra,baja,bajo,directo_digital,media,baja,confia_plena,voluntario,False,0.775
user_000115,Gen_Z_18_27,D,Sierra,media,bajo,ninguno,baja,media,desconfia,solo_obligatorio,False,1.351
user_000116,Gen_Z_18_27,C,Selva,media,alto,bancaseguros,baja,alta,confia_plena,ninguno,False,0.736
user_000117,Gen_Z_18_27,C,Resto_Costa,alta,medio,broker_corredor,alta,alta,confia_plena,solo_obligatorio,False,1.288
user_000118,Millennial_28_43,C,Lima_Metropolitana,media,medio,ninguno,alta,media,neutral,solo_obligatorio,False,1.237
user_000119,Gen_Z_18_27,C,Lima_Metropolitana,baja,bajo,broker_corredor,alta,media,confia_plena,voluntario,False,1.324
user_000120,Gen_Z_18_27,E,Sierra,media,alto,directo_digital,alta,baja,desconfia,solo_obligatorio,False,0.981
user_000121,Gen_X_44_59,E,Resto_Costa,alta,bajo,bancaseguros,media,baja,confia_plena,voluntario,False,1.154
user_000122,Gen_Z_18_27,E,Resto_Costa,baja,alto,bancaseguros,alta,alta,desconfia,ninguno,False,0.408
user_000123,Gen_X_44_59,D,Resto_Costa,baja,alto,directo_digital,alta,alta,desconfia,solo_obligatorio,False,1.241
user_000124,Gen_Z_18_27,E,Selva,baja,alto,broker_corredor,media,alta,confia_plena,ninguno,False,0.75
user_000125,Gen_X_44_59,E,Lima_Metropolitana,media,alto,directo_digital,alta,media,neutral,ninguno,False,0.636
user_000126,Gen_X_44_59,C,Lima_Metropolitana,baja,alto,ninguno,media,alta,desconfia,voluntario,False,0.835
user_000127,Gen_Z_18_27,D,Lima_Metropolitana,media,bajo,broker_corredor,baja,alta,neutral,ninguno,False,0.871
user_000128,Gen_Z_18_27,D,Sierra,baja,alto,broker_corredor,media,baja,desconfia,ninguno,False,0.74
user_000129,Gen_X_44_59,C,Resto_Costa,alta,medio,bancaseguros,alta,alta,desconfia,voluntario,False,0.824
user_000130,Millennial_28_43,C,Sierra,baja,medio,bancaseguros,media,alta,neutral,ninguno,False,0.515
user_000131,Millennial_28_43,D,Resto_Costa,baja,bajo,ninguno,alta,alta,desconfia,ninguno,False,0.509
user_000132,Millennial_28_43,C,Resto_Costa,alta,alto,bancaseguros,alta,alta,desconfia,solo_obligatorio,False,0.994
user_000133,Millennial_28_43,D,Lima_Metropolitana,media,bajo,bancaseguros,alta,alta,neutral,ninguno,False,0.564
user_000134,Millennial_28_43,C,Lima_Metropolitana,media,bajo,ninguno,alta,alta,neutral,voluntario,False,1.225
user_000135,Millennial_28_43,C,Lima_Metropolitana,media,alto,broker_corredor,media,media,desconfia,solo_obligatorio,False,0.985
user_000136,Millennial_28_43,D,Lima_Metropolitana,alta,medio,bancaseguros,alta,alta,neutral,solo_obligatorio,False,1.381
user_000137,Boomer_60_mas,C,Lima_Metropolitana,baja,bajo,bancaseguros,alta,baja,desconfia,ninguno,False,0.716
user_000138,Gen_Z_18_27,D,Lima_Metropolitana,media,medio,broker_corredor,alta,alta,desconfia,ninguno,False,0.371
user_000139,Millennial_28_43,C,Lima_Metropolitana,baja,medio,bancaseguros,alta,alta,desconfia,ninguno,False,0.807
user_000140,Boomer_60_mas,E,Lima_Metropolitana,baja,medio,ninguno,alta,alta,desconfia,ninguno,False,0.619
user_000141,Gen_Z_18_27,C,Lima_Metropolitana,baja,alto,bancaseguros,alta,baja,desconfia,ninguno,False,0.634
user_000142,Gen_Z_18_27,E,Lima_Metropolitana,media,medio,bancaseguros,alta,alta,confia_plena,solo_obligatorio,False,1.125
user_000143,Millennial_28_43,C,Resto_Costa,baja,medio,directo_digital,alta,media,desconfia,solo_obligatorio,False,1.152
user_000144,Gen_X_44_59,E,Lima_Metropolitana,baja,bajo,directo_digital,alta,baja,desconfia,solo_obligatorio,False,0.868
user_000145,Millennial_28_43,E,Selva,baja,medio,broker_corredor,media,baja,neutral,ninguno,False,0.856
user_000146,Boomer_60_mas,B,Sierra,baja,alto,broker_corredor,media,baja,confia_plena,solo_obligatorio,False,1.215
user_000147,Boomer_60_mas,D,Selva,baja,alto,bancaseguros,baja,baja,neutral,ninguno,False,0.385
user_000148,Millennial_28_43,B,Lima_Metropolitana,baja,medio,broker_corredor,alta,media,desconfia,solo_obligatorio,False,0.752
user_000149,Boomer_60_mas,D,Sierra,alta,bajo,bancaseguros,media,baja,neutral,solo_obligatorio,False,0.906
user_000150,Gen_Z_18_27,C,Lima_Metropolitana,media,alto,bancaseguros,alta,alta,desconfia,ninguno,False,0.459
user_000151,Gen_Z_18_27,D,Lima_Metropolitana,media,alto,bancaseguros,baja,alta,neutral,ninguno,False,1.046
user_000152,Millennial_28_43,D,Sierra,baja,alto,bancaseguros,alta,media,desconfia,ninguno,False,0.621
user_000153,Gen_X_44_59,C,Lima_Metropolitana,baja,alto,bancaseguros,alta,alta,neutral,ninguno,False,0.525
user_000154,Gen_Z_18_27,C,Lima_Metropolitana,baja,medio,ninguno,media,alta,desconfia,solo_obligatorio,False,0.889
user_000155,Millennial_28_43,D,Resto_Costa,media,alto,broker_corredor,alta,alta,neutral,solo_obligatorio,False,0.74
user_000156,Gen_X_44_59,B,Selva,baja,medio,bancaseguros,media,baja,desconfia,ninguno,False,0.567
user_000157,Millennial_28_43,E,Resto_Costa,media,bajo,directo_digital,alta,alta,desconfia,ninguno,False,0.771
user_000158,Millennial_28_43,C,Lima_Metropolitana,baja,bajo,ninguno,alta,baja,neutral,solo_obligatorio,False,1.166
user_000159,Millennial_28_43,D,Sierra,media,alto,directo_digital,media,media,desconfia,ninguno,False,0.675
user_000160,Boomer_60_mas,E,Lima_Metropolitana,media,medio,ninguno,alta,media,desconfia,solo_obligatorio,False,0.987
user_000161,Boomer_60_mas,E,Sierra,media,medio,broker_corredor,media,alta,neutral,ninguno,False,0.873
user_000162,Gen_Z_18_27,E,Lima_Metropolitana,baja,medio,directo_digital,alta,alta,confia_plena,ninguno,False,0.702
user_000163,Gen_Z_18_27,B,Lima_Metropolitana,baja,alto,broker_corredor,alta,alta,neutral,voluntario,False,0.951
user_000164,Boomer_60_mas,C,Lima_Metropolitana,baja,alto,directo_digital,media,media,confia_plena,solo_obligatorio,False,1.18
user_000165,Millennial_28_43,E,Sierra,baja,medio,ninguno,alta,alta,desconfia,ninguno,False,0.659
user_000166,Gen_X_44_59,D,Resto_Costa,baja,bajo,broker_corredor,alta,alta,confia_plena,voluntario,False,1.057
user_000167,Boomer_60_mas,E,Selva,alta,medio,directo_digital,alta,media,desconfia,ninguno,False,0.487
user_000168,Millennial_28_43,B,Sierra,baja,medio,directo_digital,baja,baja,confia_plena,ninguno,False,0.737
user_000169,Boomer_60_mas,D,Sierra,alta,alto,directo_digital,media,media,desconfia,ninguno,False,0.883
user_000170,Gen_Z_18_27,E,Selva,baja,alto,broker_corredor,alta,alta,confia_plena,solo_obligatorio,False,0.917
user_000171,Boomer_60_mas,B,Sierra,media,medio,directo_digital,baja,baja,confia_plena,voluntario,False,0.899
user_000172,Gen_X_44_59,B,Resto_Costa,baja,bajo,bancaseguros,alta,baja,desconfia,voluntario,True,1.358
user_000173,Millennial_28_43,B,Selva,media,medio,directo_digital,media,baja,confia_plena,voluntario,True,1.254
user_000174,Boomer_60_mas,D,Resto_Costa,baja,bajo,directo_digital,alta,media,neutral,solo_obligatorio,False,1.082
user_000175,Gen_Z_18_27,E,Resto_Costa,media,medio,directo_digital,alta,baja,desconfia,ninguno,False,0.983
user_000176,Millennial_28_43,C,Resto_Costa,baja,alto,bancaseguros,alta,alta,neutral,ninguno,False,0.928
user_000177,Millennial_28_43,D,Sierra,alta,medio,ninguno,media,media,neutral,solo_obligatorio,False,0.923
user_000178,Gen_X_44_59,D,Lima_Metropolitana,baja,alto,broker_corredor,alta,alta,neutral,ninguno,False,0.651
user_000179,Gen_X_44_59,D,Lima_Metropolitana,media,medio,bancaseguros,alta,alta,confia_plena,ninguno,False,0.572
user_000180,Gen_X_44_59,D,Sierra,baja,medio,bancaseguros,alta,alta,desconfia,ninguno,False,0.566
user_000181,Millennial_28_43,C,Lima_Metropolitana,baja,alto,bancaseguros,alta,alta,desconfia,ninguno,False,0.68
user_000182,Millennial_28_43,D,Lima_Metropolitana,media,alto,ninguno,alta,alta,confia_plena,solo_obligatorio,False,0.714
user_000183,Gen_X_44_59,E,Selva,baja,medio,ninguno,alta,baja,neutral,ninguno,False,0.764
user_000184,Gen_Z_18_27,C,Lima_Metropolitana,media,alto,ninguno,alta,media,desconfia,voluntario,True,1.247
user_000185,Gen_Z_18_27,D,Selva,alta,alto,directo_digital,media,alta,neutral,solo_obligatorio,False,1.028
user_000186,Boomer_60_mas,D,Resto_Costa,baja,alto,ninguno,media,alta,desconfia,ninguno,False,0.644
user_000187,Millennial_28_43,D,Selva,baja,medio,directo_digital,media,alta,desconfia,solo_obligatorio,False,0.993
user_000188,Gen_X_44_59,E,Resto_Costa,media,medio,directo_digital,baja,baja,desconfia,solo_obligatorio,False,0.676
user_000189,Gen_Z_18_27,D,Lima_Metropolitana,baja,alto,broker_corredor,media,alta,desconfia,ninguno,False,0.647
user_000190,Gen_X_44_59,D,Resto_Costa,media,alto,broker_corredor,alta,baja,confia_plena,voluntario,False,0.837
user_000191,Boomer_60_mas,E,Sierra,baja,medio,broker_corredor,media,media,neutral,ninguno,False,0.92
user_000192,Millennial_28_43,B,Selva,baja,medio,directo_digital,media,alta,neutral,voluntario,False,1.273
user_000193,Gen_Z_18_27,C,Sierra,media,alto,directo_digital,media,alta,neutral,solo_obligatorio,False,0.89
user_000194,Gen_X_44_59,E,Selva,baja,medio,ninguno,media,media,confia_plena,solo_obligatorio,False,1.203
user_000195,Gen_Z_18_27,E,Lima_Metropolitana,media,bajo,directo_digital,alta,alta,neutral,ninguno,False,0.669
user_000196,Boomer_60_mas,C,Sierra,alta,bajo,broker_corredor,alta,baja,neutral,solo_obligatorio,False,1.279
user_000197,Millennial_28_43,C,Lima_Metropolitana,media,alto,bancaseguros,alta,baja,confia_plena,ninguno,False,0.576
user_000198,Millennial_28_43,B,Selva,media,medio,broker_corredor,media,alta,confia_plena,voluntario,True,0.96
user_000199,Millennial_28_43,D,Resto_Costa,alta,medio,directo_digital,media,media,confia_plena,solo_obligatorio,False,1.01
